time,secondary_infections
1.1382862222222223,17
2.0330737777777776,20
3.049719703703704,20
4.050156246913581,23
5.060740740740741,27
6.066832987654321,32
7.081633975308642,35
8.082339160493827,35
9.109494518518519,36
10.10903624691358,37
11.10931437037037,40
12.120139061728395,42
13.120701629629629,48
14.126954271604939,52
15.12648138271605,54
16.151329580246912,55
17.15667239506173,57
18.16104809876543,64
19.167439407407407,70
20.186209185185184,74
21.197667555555554,80
22.20991762962963,88
23.234334024691357,94
24.259815111111113,96
25.315505777777776,99
26.291880296296295,101
27.29685451851852,104
28.29427713580247,108
29.30602864197531,110
30.321457382716048,111
31.344754172839504,112
32.3716270617284,112
33.375610074074075,115
34.4241224691358,117
35.427882271604936,120
36.451457185185184,124
37.45545441975309,127
38.51230419753087,135
39.537124740740744,143
40.59302597530864,153
41.615957333333334,167
42.626900148148145,184
43.64932464197531,205
44.69275733333333,221
45.769636740740744,240
46.869323061728394,256
47.8987547654321,286
48.95093925925926,313
49.998022716049384,336
51.023357234567904,363
52.09739417283951,387
53.15860306172839,414
54.18148187654321,446
55.18044918518518,471
56.239025777777776,495
57.32007387654321,519
58.3212717037037,554
59.38956681481481,581
60.58041718518518,616
61.535525135802466,638
62.62929777777778,663
63.683265185185185,689
64.79690982716049,725
65.92023308641976,774
67.14670064197531,829
68.19778725925926,898
69.39268029629629,962
70.54289303703703,1024
71.57901037037037,1082
72.80094854320987,1145
73.96240869135802,1204
75.07735466666666,1263
76.14017540740741,1311
77.1602366419753,1362
78.25538962962963,1412
79.47910281481481,1461
80.60314311111111,1513
81.82629135802469,1569
82.86884898765432,1624
83.98525511111112,1685
85.15056869135802,1748
86.48798775308641,1813
87.67608651851852,1887
88.8484507654321,1959
90.03149471604938,2027
91.14592632098766,2088
92.39906488888889,2153
93.57720967901234,2214
94.89049758024692,2282
95.96271644444444,2341
96.98696019753086,2421
98.0575233580247,2478
99.09377422222222,2537
100.31266883950617,2604
101.36683535802469,2659
102.47814834567902,2722
103.50319565432099,2785
104.74181925925926,2857
105.88868385185185,2903
107.05595812345679,2958
108.11673560493827,3026
109.23733965432099,3080
110.6091006419753,3136
111.92514172839506,3203
113.26972167901235,3274
114.58123456790123,3341
115.98769461728395,3409
117.28527249382716,3479
118.58390202469135,3535
120.00961619753086,3616
120.95080375308642,3677
1.0057003456790123,0,0,0,0,0
1.1122753580246914,14
2.0069613827160495,18
3.0190285432098767,24
4.020211358024691,26
5.025476345679012,30
6.024318024691358,32
7.020112592592593,36
8.033283950617284,44
9.050820740740741,49
10.058981530864198,54
11.068651851851852,61
12.066722370370371,66
13.069677827160493,70
14.069957925925927,76
15.076114172839507,84
16.08325649382716,89
17.087247802469136,92
18.087594666666668,95
19.083245827160493,97
20.097692049382715,100
21.10142301234568,106
22.111471407407407,108
23.125275654320987,112
24.139199209876544,115
25.14259713580247,120
26.155555160493826,121
27.174366419753085,125
28.187707654320988,127
29.20526301234568,129
30.20924049382716,131
31.232156049382716,132
32.252082962962966,133
33.274992197530864,134
34.28976513580247,136
35.318581333333334,143
36.327270716049384,150
37.35046874074074,155
38.38247032098766,161
39.397755259259256,170
40.426243950617284,179
41.42672118518519,191
42.440395061728395,194
43.458659555555556,205
44.45528572839506,211
45.46639367901235,226
46.490541432098766,239
47.49695644444444,259
48.499250567901235,272
49.50150281481481,304
50.525263802469134,332
51.5753489382716,353
52.62560079012346,367
53.64531437037037,382
54.66837096296296,413
55.70104059259259,438
56.72479644444444,463
57.76201125925926,480
58.79651437037037,503
59.79633698765432,532
60.82395733333333,552
61.847512888888886,579
62.88386330864198,607
63.89524977777778,627
64.90568691358024,647
65.92915437037037,662
66.9569627654321,674
67.9773258271605,695
68.98047565432098,712
70.01251081481482,732
71.04972009876543,749
72.06689777777778,767
73.06485491358025,782
74.06710320987655,807
75.12609185185185,829
76.13520118518518,847
77.16661056790123,874
78.20868148148148,898
79.24222538271604,926
80.24714785185185,967
81.30057560493827,992
82.34521995061728,1011
83.3657821234568,1031
84.4177544691358,1054
85.42687841975308,1066
86.44691832098765,1094
87.50058587654321,1118
88.55512138271605,1152
89.59936316049382,1180
90.62283812345679,1201
91.67118143209876,1222
92.6960778271605,1243
93.72745283950617,1274
94.78555061728395,1293
95.82857125925926,1316
96.85587713580247,1336
97.90583387654321,1360
98.90538232098766,1386
99.96790439506172,1422
101.00318538271605,1446
102.03518498765432,1471
103.03619239506173,1486
104.09053234567901,1511
105.15158004938272,1532
106.16739911111111,1554
107.1800138271605,1575
108.21087604938272,1591
109.26296177777778,1609
110.27626824691357,1629
111.32711664197531,1647
112.37862360493827,1661
113.38725333333333,1680
114.44976987654321,1697
115.47323654320988,1709
116.4964507654321,1723
117.49330844444444,1746
118.53499377777777,1757
119.54849145679012,1766
120.59195496296296,1778
