time,secondary_infections
0.562576,15
1.464409,26
2.475082,34
3.434688,43
4.429576,55
5.38578,71
6.381377,88
7.371496,99
8.377641,117
9.36975,141
10.366494,175
11.357141,208
12.365934,230
13.370661,261
14.367942,298
15.375387,332
16.362023,372
17.352293,405
18.339872,435
19.341394,468
20.334468,501
21.35438,533
22.341868,574
23.34631,621
24.347533,663
25.366744,706
26.376658,747
27.429898,792
28.375037,843
29.39048,894
30.381928,961
31.415546,1016
32.401547,1086
33.399781,1154
34.39778,1199
35.398104,1270
36.407043,1329
37.430549,1386
38.478196,1455
39.507925,1532
40.527942,1594
41.523186,1643
42.532143,1707
43.543827,1769
44.567518,1829
45.593708,1910
46.62081,1984
47.64296,2077
48.651304,2152
49.666738,2240
50.668803,2307
51.723467,2385
52.8478,2472
53.788068,2541
54.85463,2640
55.820361,2710
56.842029,2802
57.860115,2893
58.85987,2977
59.924203,3048
60.932155,3137
61.873088,3220
62.854847,3301
63.975336,3374
64.954145,3464
65.94783,3544
66.964678,3618
67.990761,3703
69.021256,3778
70.157061,3861
71.155669,3941
72.352926,4036
73.302379,4119
74.381275,4186
75.347097,4278
76.380759,4359
77.42765,4434
78.451853,4525
79.46865,4602
80.514528,4685
81.547178,4780
82.553809,4845
83.551743,4920
84.596562,5003
85.585448,5079
86.593705,5157
87.758419,5237
88.722816,5330
89.782654,5401
90.741002,5472
91.749189,5545
92.764507,5609
93.759585,5705
94.793809,5786
95.785687,5856
96.782435,5926
97.783474,6003
98.885281,6087
99.89564,6163
100.920594,6259
101.933696,6348
102.937616,6433
103.931055,6517
104.992401,6611
106.031187,6686
107.050239,6749
108.08303,6818
109.191098,6897
110.157981,6971
111.17991,7065
112.189046,7147
113.225887,7237
114.274444,7322
115.387022,7408
116.3804,7500
117.375887,7576
118.402786,7652
119.407473,7735
120.449533,7804
121.480599,7892
122.584418,7984
123.611331,8077
124.75173,8157
125.771906,8229
126.701199,8305
127.699385,8378
128.69155,8464
129.666262,8551
130.686552,8627
131.680493,8698
132.739913,8777
133.798719,8857
134.893082,8928
135.871635,9009
136.871849,9090
138.020228,9162
139.043822,9250
140.193466,9334
141.153891,9402
142.15629,9502
143.277625,9579
144.192366,9668
145.173975,9738
146.168451,9812
147.318937,9887
148.329986,9975
149.397562,10042
150.509795,10123
151.439446,10210
152.443241,10282
153.459924,10357
154.54607,10442
155.558342,10525
156.667921,10593
157.56395,10662
158.611606,10739
159.59718,10825
160.595174,10924
161.58519,11007
162.654684,11088
163.766618,11169
164.792057,11248
165.868312,11336
166.863598,11411
167.83691,11493
168.847788,11569
170.203553,11658
171.066413,11726
172.08975,11796
173.155646,11854
174.184458,11928
175.251897,12004
176.477854,12100
177.557528,12182
178.529634,12249
179.573893,12336
180.624953,12415
181.606929,12502
182.64075,12602
183.678935,12690
184.782426,12774
185.763121,12859
186.904328,12948
187.759632,13013
188.761935,13106
189.777944,13197
190.938043,13293
192.063013,13367
193.044246,13429
194.053753,13516
195.045089,13585
196.066235,13668
197.088271,13756
198.200867,13848
199.29609,13931
200.367444,14000
201.392168,14082
202.442534,14154
203.50316,14231
204.507989,14322
205.562419,14407
206.58886,14470
207.630214,14550
208.676884,14617
209.74669,14697
210.730024,14757
211.699248,14835
212.705112,14914
213.784294,14982
214.720568,15037
215.75271,15097
216.760867,15175
217.76731,15252
218.779233,15321
219.800164,15382
220.924912,15445
222.0123,15518
222.986363,15582
224.099089,15654
225.002448,15740
226.094232,15818
227.112781,15910
228.152434,15975
229.200064,16046
230.19723,16136
231.145785,16212
232.228524,16271
233.242241,16360
234.435382,16445
235.349105,16531
236.418256,16608
237.506178,16699
238.468749,16783
239.495952,16859
240.458679,16937
241.436715,17019
242.447458,17099
243.472912,17167
244.531021,17245
245.575767,17337
246.619013,17405
247.61257,17473
248.667041,17550
249.68961,17633
250.669141,17701
251.801792,17768
252.695136,17854
253.737783,17943
254.841271,18011
255.893738,18089
256.903476,18171
257.996469,18259
259.149757,18336
260.170874,18423
261.182434,18507
262.207744,18598
263.200327,18688
264.31028,18762
265.295615,18827
266.35173,18915
267.456067,18993
268.541825,19087
269.560243,19168
270.596928,19243
271.619354,19306
272.596978,19378
273.617969,19446
274.726786,19529
275.74938,19614
276.744654,19699
277.763724,19778
278.740351,19862
279.74977,19949
280.764193,20036
281.760192,20094
282.851958,20168
283.921177,20269
284.987227,20349
286.003243,20422
287.030852,20495
288.037567,20567
289.152484,20652
290.042852,20733
291.077437,20804
292.056853,20872
293.093173,20969
294.159063,21050
295.16311,21118
296.167631,21201
297.175097,21274
298.244143,21363
