time,secondary_infections
0.590499,15
1.483276,21
2.429772,29
3.415783,38
4.413381,42
5.427066,51
6.420608,56
7.412332,64
8.424353,69
9.432549,77
10.413926,83
11.422852,106
12.43155,119
13.425409,131
14.437615,149
15.451206,171
16.463343,193
17.477076,221
18.47722,258
19.486721,290
20.511045,333
21.505933,371
22.510667,408
23.509582,455
24.523583,506
25.520675,537
26.528929,583
27.540157,620
28.534886,650
29.554566,688
30.548849,727
31.560063,770
32.581015,811
33.603092,848
34.599006,898
35.589243,961
36.618206,1015
37.622137,1056
38.617622,1099
39.640268,1156
40.661083,1211
41.667798,1263
42.667645,1315
43.675626,1364
44.675603,1414
45.663754,1468
46.664015,1514
47.669515,1562
48.67151,1604
49.668572,1659
50.670657,1706
51.689149,1759
52.692997,1835
53.711273,1893
54.721913,1951
55.716734,2011
56.746797,2070
57.766548,2127
58.781059,2184
59.797426,2237
60.815926,2294
61.836242,2375
62.843223,2442
63.851314,2507
64.860099,2562
65.871617,2630
66.911272,2707
67.920291,2776
68.943789,2851
69.965474,2919
70.962873,2990
71.972008,3067
73.001391,3143
74.023383,3239
75.063493,3322
76.056554,3412
77.100446,3500
78.153485,3581
79.153263,3664
80.200662,3752
81.194457,3832
82.247881,3918
83.26215,4008
84.267285,4096
85.32363,4188
86.321473,4268
87.316766,4351
88.331503,4426
89.34129,4507
90.382881,4588
91.438107,4675
92.485024,4741
93.476789,4811
94.467127,4880
95.484373,4939
96.477063,5010
97.51975,5065
98.55046,5130
99.565654,5181
100.60598,5249
101.601441,5325
102.623778,5396
103.670069,5468
104.663462,5532
105.687093,5619
106.7104,5676
107.741085,5754
108.767827,5827
109.787633,5897
110.818748,5980
111.85342,6045
112.862635,6128
113.89559,6212
114.935749,6300
115.971084,6383
116.962106,6455
118.010182,6555
119.023704,6634
120.039948,6735
121.039099,6811
122.094985,6898
123.118932,6977
124.137439,7053
125.145609,7145
126.164674,7229
127.187892,7313
128.25151,7403
129.300755,7476
130.331186,7552
131.360851,7627
132.413796,7722
133.467474,7815
134.49729,7892
135.527414,7950
136.56086,8016
137.58684,8078
138.630549,8151
139.623886,8203
140.648299,8269
141.688976,8337
142.740681,8414
143.749956,8489
144.7457,8564
145.861292,8644
146.87743,8722
147.890205,8807
148.92026,8886
149.966039,8953
150.978191,9023
151.968471,9127
152.975321,9211
154.011792,9319
155.011126,9379
156.003806,9436
157.044689,9516
158.037036,9572
159.060299,9641
160.05613,9736
161.07461,9797
162.11619,9871
163.123451,9934
164.164033,10021
165.183394,10125
166.24356,10202
167.310176,10291
168.317147,10371
169.320796,10451
170.347548,10536
171.388968,10594
172.392007,10678
173.421234,10756
174.423867,10846
175.441277,10921
176.478894,10971
177.526463,11048
178.539227,11126
179.567437,11217
180.59245,11290
181.627595,11364
182.684563,11454
183.716691,11538
184.765657,11629
185.772069,11718
186.775386,11787
187.78842,11879
188.796783,11946
189.816085,12031
190.831188,12116
191.868793,12191
192.863201,12269
193.863223,12342
194.916648,12420
195.953808,12508
196.952329,12576
197.991927,12648
199.014657,12723
200.046564,12815
201.084999,12897
202.096662,12974
203.15021,13053
204.171181,13132
205.194776,13219
206.242861,13289
207.276054,13364
208.281444,13443
209.313103,13536
210.341186,13628
211.346,13687
212.3938,13768
213.409365,13837
214.45008,13921
215.453179,13990
216.503419,14066
217.566522,14154
218.57598,14225
219.602152,14301
220.665936,14376
221.745382,14468
222.784183,14544
223.817043,14612
224.918765,14697
225.960357,14790
226.973817,14871
227.971561,14960
228.981325,15033
230.006216,15119
231.046061,15195
232.079023,15279
233.148042,15363
234.144065,15420
235.157556,15493
236.148596,15562
237.177903,15645
238.227579,15714
239.219279,15778
240.266708,15854
241.28403,15923
242.331093,16011
243.344853,16101
244.343631,16179
245.355517,16260
246.407353,16365
247.440618,16450
248.485052,16516
249.496315,16589
250.514702,16672
251.508905,16748
252.523701,16823
253.571767,16905
254.580888,16992
255.577854,17091
256.622796,17182
257.628123,17254
258.623634,17323
259.61679,17411
260.657479,17495
261.65765,17572
262.668942,17642
263.673525,17748
264.675436,17817
265.728506,17891
266.761985,17968
267.817442,18041
268.825338,18100
269.8491,18178
270.851437,18241
271.848879,18285
272.859455,18360
273.861696,18434
274.881777,18506
275.913741,18591
276.930188,18682
277.945179,18748
278.980132,18828
279.9951,18913
281.041231,18999
282.08273,19077
283.121089,19153
284.15295,19237
285.208551,19326
286.256039,19392
287.304068,19469
288.327948,19548
289.383442,19628
290.424323,19717
291.441139,19782
292.450224,19854
293.465129,19917
294.468891,20011
295.513778,20081
296.516196,20172
297.54412,20239
298.55271,20334
