time,secondary_infections
0.562099,16
1.47122,29
2.460585,44
3.462772,53
4.484514,62
5.467494,71
6.474747,89
7.474783,101
8.488407,111
9.478442,123
10.47298,145
11.464102,172
12.455666,192
13.456679,218
14.445176,255
15.460136,282
16.464166,323
17.461144,377
18.469695,420
19.494708,465
20.48857,494
21.499215,527
22.51345,571
23.543551,633
24.574272,686
25.613336,741
26.56975,801
27.601352,862
28.624131,928
29.631172,993
30.672744,1057
31.684782,1132
32.705293,1179
33.733554,1245
34.742063,1317
35.82023,1395
36.805971,1454
37.810522,1529
38.80946,1597
39.814719,1675
40.828145,1737
41.855961,1800
42.887181,1863
43.923054,1946
44.966775,2023
45.987573,2103
47.009975,2183
48.01297,2263
49.043976,2335
50.051029,2416
51.088544,2498
52.108289,2574
53.135288,2656
54.182431,2729
55.194746,2811
56.2332,2895
57.235351,2968
58.261955,3045
59.272425,3126
60.273864,3224
61.365451,3308
62.346305,3403
63.338351,3496
64.378068,3579
65.421169,3665
66.497673,3754
67.436978,3828
68.485142,3911
69.516261,3993
70.544637,4062
71.570277,4136
72.605369,4223
73.62933,4321
74.645629,4417
75.689102,4498
76.713036,4577
77.746653,4656
78.780481,4751
79.785445,4832
80.785917,4909
81.790999,4988
82.814072,5070
83.832758,5166
84.890068,5257
85.909441,5342
86.949005,5422
87.984021,5518
88.982755,5603
89.988657,5695
91.026667,5775
92.059257,5864
93.050673,5951
94.093948,6046
95.111811,6124
96.131055,6204
97.154841,6292
98.165086,6370
99.247042,6449
100.221357,6534
101.275424,6619
102.282158,6725
103.346204,6811
104.36158,6895
105.362228,6973
106.363355,7066
107.381721,7150
108.397871,7235
109.407748,7330
110.429276,7424
111.465229,7531
112.484847,7615
113.489273,7709
114.493994,7781
115.59878,7866
116.55594,7947
117.563304,8043
118.63023,8135
119.646664,8215
120.680098,8292
121.701286,8364
122.824774,8445
123.873766,8564
124.910931,8662
125.950784,8752
126.998762,8836
128.017353,8923
129.05444,8996
130.086348,9087
131.103835,9160
132.110288,9247
133.140381,9314
134.175077,9392
135.188546,9479
136.196654,9579
137.204107,9661
138.247929,9747
139.263475,9834
140.302094,9928
141.31202,10015
142.29833,10096
143.351495,10194
144.363734,10271
145.468214,10361
146.520181,10440
147.53597,10508
148.557993,10605
149.558951,10685
150.652398,10778
151.587595,10862
152.642309,10936
153.697901,11030
154.69157,11114
155.691159,11200
156.724178,11287
157.752124,11365
158.794547,11449
159.832438,11530
160.831166,11618
161.864018,11719
162.873591,11804
163.904837,11889
164.918905,11971
165.942505,12052
166.976094,12141
168.024385,12209
169.061051,12299
170.059524,12391
171.069005,12471
172.162871,12555
173.116406,12634
174.158983,12706
175.20492,12772
176.21119,12857
177.214875,12954
178.211623,13046
179.192779,13115
180.222081,13199
181.247678,13281
182.258262,13370
183.251907,13436
184.273436,13522
185.270906,13611
186.315266,13698
187.317924,13778
188.318221,13852
189.372677,13920
190.413503,14008
191.456191,14109
192.476934,14189
193.470267,14262
194.50572,14349
195.499637,14436
196.552371,14520
197.583295,14607
198.621154,14683
199.650017,14759
200.733035,14859
201.660504,14939
202.694551,15032
203.692111,15105
204.733978,15187
205.76954,15266
206.821914,15361
207.865384,15460
208.914703,15547
209.925312,15641
210.951267,15723
211.966746,15808
212.960845,15899
213.996607,15979
214.991418,16071
215.97642,16133
216.983224,16223
217.992811,16302
218.98476,16359
220.068973,16432
221.006346,16506
221.999577,16577
223.032338,16640
224.059229,16725
225.067318,16797
226.103464,16884
227.129244,16955
228.140791,17050
229.186875,17122
230.232347,17202
231.283746,17281
232.304921,17381
233.374327,17454
234.307127,17529
235.342317,17615
236.334841,17692
237.334997,17778
238.354782,17857
239.364084,17961
240.358148,18037
241.358596,18111
242.401127,18201
243.431614,18298
244.48064,18396
245.582527,18496
246.525091,18579
247.553963,18665
248.551446,18742
249.583503,18841
250.611989,18935
251.616009,19022
252.657283,19091
253.662308,19163
254.670304,19246
255.682641,19324
256.712819,19416
257.748359,19503
258.784566,19607
259.80487,19692
260.839039,19786
261.869861,19877
262.906084,19964
263.944466,20048
264.939462,20136
265.961311,20208
266.993659,20285
267.983205,20361
268.998103,20445
270.048651,20531
271.062463,20619
272.113641,20708
273.135113,20793
274.148022,20872
275.191863,20952
276.219301,21036
277.259976,21116
278.259548,21185
279.3077,21260
280.329368,21341
281.336189,21428
282.364636,21523
283.402261,21602
284.431711,21691
285.437768,21767
286.485195,21848
287.512658,21937
288.505809,22024
289.518183,22119
290.52439,22195
291.526356,22281
292.539048,22367
293.582375,22451
294.593606,22536
295.634213,22629
296.669286,22702
297.669735,22778
298.679669,22850
299.674734,22932
