time,secondary_infections
0.883206,14
1.804175,19
2.744426,25
3.694903,29
4.659673,33
5.681336,35
6.654722,42
7.682694,49
8.661913,53
9.643441,60
10.646671,69
11.666803,73
12.682629,80
13.674964,92
14.66133,100
15.723,112
16.700531,116
17.694244,119
18.694532,125
19.684438,130
20.70704,139
21.658544,146
22.680623,151
23.68629,161
24.676956,173
25.709665,177
26.661626,186
27.669556,199
28.714765,206
29.743953,213
30.723062,217
31.682994,234
32.620203,248
33.627555,262
34.592853,266
35.70369,278
36.634132,289
37.65281,306
38.664664,321
39.743036,339
40.766266,355
41.757897,382
42.771113,404
43.83822,425
44.838594,447
45.909496,476
46.961497,505
48.081729,541
49.201125,563
50.281019,600
51.326072,623
52.306273,650
53.272214,676
54.357575,717
55.513129,764
56.671183,789
57.726407,824
58.765751,858
60.043192,888
61.116109,923
62.346099,965
63.391564,993
64.352387,1018
65.34492,1050
66.454649,1071
67.523373,1107
68.575683,1144
69.594523,1166
70.701877,1203
71.850715,1235
72.922369,1261
74.010361,1286
75.079222,1311
76.146929,1340
77.137824,1370
78.148641,1403
79.197108,1419
80.385027,1441
81.258896,1461
82.287109,1483
83.322783,1508
84.390268,1542
85.537128,1571
86.682238,1601
87.677083,1644
88.905022,1675
90.069434,1718
91.156956,1757
92.05803,1792
93.154296,1849
94.34925,1910
95.650176,1970
97.045193,2034
97.873636,2069
98.993406,2115
100.116132,2158
101.400135,2217
102.302854,2269
103.306718,2313
104.349708,2360
105.470371,2402
106.73628,2466
107.9927,2503
108.962531,2546
110.056061,2594
111.15731,2646
112.432029,2691
113.47572,2731
114.793308,2772
115.806718,2828
117.083804,2878
118.046097,2897
119.045557,2961
120.599933,3015
121.556357,3056
