time,secondary_infections
1.65695,13
2.63267,16
3.5975409999999997,20
4.589264,23
5.573326,24
6.535925,25
7.517321,27
8.503229,30
9.491119,35
10.472344,42
11.47378,46
12.494146,46
13.496803,53
14.511955,59
15.519589,63
16.513065,66
17.510324999999998,67
18.494399,72
19.510219,74
20.51241,76
21.510534,78
22.493557,82
23.495932,88
24.487155,94
25.473554,100
26.468619,108
27.459909,116
28.435541,121
29.458049,132
30.482293,144
31.532874,149
32.524608,156
33.538676,169
34.527016,177
35.543997,184
36.555896,189
37.579156,197
38.568123,210
39.555507,222
40.572073,241
41.582511,251
42.61143,260
43.645286,272
44.663529,282
45.695994,297
46.712333,303
47.738317,312
48.756111,319
49.81312,336
50.801449,361
51.8265,373
52.881096,384
53.889297,402
54.903086,426
55.910375,437
56.931915,453
57.982439,466
59.028093,483
60.017879,506
61.014171,525
62.053681,543
63.057823,557
64.051286,572
65.100188,588
66.10098500000001,601
67.094845,609
68.058413,617
69.03636900000001,626
70.055778,636
71.093816,644
72.08844,653
73.10054500000001,663
74.09391000000001,677
75.14676600000001,689
76.193194,704
77.259303,723
78.28049,737
79.291708,752
80.315517,780
81.30186900000001,816
82.285774,838
83.30489700000001,867
84.362322,909
85.46426500000001,949
86.58294000000001,988
87.657779,1033
88.72344000000001,1071
89.80531900000001,1117
90.863315,1151
91.873818,1180
93.003989,1205
94.13397,1241
95.271523,1277
96.267294,1315
97.32555,1359
98.434931,1406
99.435972,1442
100.44510500000001,1490
101.49499300000001,1526
102.62292500000001,1566
103.834884,1619
104.98223200000001,1654
106.01245700000001,1686
107.09816400000001,1732
108.265403,1778
109.392295,1817
110.40569900000001,1858
111.450602,1909
112.61304700000001,1959
113.611652,1997
114.667563,2042
115.825558,2089
116.96410200000001,2133
118.31290000000001,2192
119.409963,2240
120.49761000000001,2284
