time,secondary_infections
0.550925,16
1.445526,22
2.434437,27
3.422909,32
4.42254,42
5.408192,60
6.398289,72
7.401347,83
8.39868,93
9.386292,114
10.391409,138
11.380862,161
12.371572,193
13.369524,229
14.380495,266
15.39661,297
16.405763,348
17.418686,396
18.407831,435
19.421634,477
20.426397,515
21.422358,562
22.421833,617
23.425422,671
24.440857,727
25.441188,785
26.465134,833
27.465801,888
28.487675,948
29.49772,1014
30.490984,1070
31.489206,1134
32.502016,1207
33.498676,1265
34.538001,1345
35.560802,1410
36.577625,1486
37.577203,1557
38.608321,1632
39.625724,1701
40.621874,1745
41.62311,1818
42.663087,1880
43.691336,1940
44.70648,2024
45.726039,2099
46.75031,2188
47.780122,2263
48.785563,2354
49.821327,2435
50.848265,2517
51.883188,2617
52.91913,2695
53.948609,2772
54.961883,2871
55.968235,2952
57.014338,3037
58.012506,3138
59.048542,3234
60.066064,3318
61.08918,3409
62.093533,3487
63.109542,3590
64.129163,3674
65.1609,3761
66.187502,3849
67.200204,3945
68.225954,4030
69.256503,4107
70.285678,4172
71.307864,4254
72.336769,4360
73.388998,4459
74.430547,4546
75.480035,4640
76.475916,4715
77.488635,4806
78.495248,4902
79.52258,4986
80.55738,5080
81.578358,5164
82.618735,5255
83.647215,5350
84.689691,5428
85.741172,5519
86.778017,5599
87.791818,5722
88.835399,5806
89.829033,5882
90.846848,5964
91.858585,6033
92.868242,6122
93.863009,6203
94.867016,6283
95.914453,6380
96.938577,6470
97.986081,6564
99.020843,6633
100.041202,6715
101.065754,6813
102.093626,6907
103.092469,6995
104.139296,7065
105.154556,7168
106.184669,7248
107.228416,7343
108.241233,7437
109.259347,7523
110.277316,7621
111.310381,7716
112.330659,7793
113.347982,7872
114.370025,7952
115.373456,8047
116.41627,8140
117.457079,8221
118.490297,8316
119.52726,8392
120.561379,8470
121.605971,8550
122.598075,8648
123.63499,8754
124.663435,8851
125.713345,8947
126.757582,9031
127.765872,9125
128.768381,9212
129.819657,9311
130.817695,9389
131.831921,9475
132.843791,9557
133.848268,9644
134.896071,9737
135.887805,9840
136.882502,9924
137.890515,10002
138.920997,10072
139.952877,10148
140.996477,10227
142.018955,10309
143.067174,10398
144.113305,10490
145.13545,10562
146.135818,10625
147.1438,10721
148.149415,10789
149.162997,10874
150.190745,10971
151.229514,11057
152.281138,11162
153.311189,11252
154.350347,11344
155.358594,11436
156.375901,11526
157.376466,11600
158.416722,11681
159.436387,11755
160.452178,11830
161.457643,11916
162.459675,11990
163.451879,12063
164.44809,12151
165.461258,12239
166.500977,12326
167.509243,12421
168.518157,12512
169.557154,12607
170.578178,12697
171.59769,12780
172.611979,12852
173.663245,12930
174.678487,13021
175.729905,13111
176.773284,13208
177.776047,13290
178.791116,13368
179.799384,13465
180.800029,13546
181.839615,13617
182.851672,13708
183.849157,13780
184.900197,13874
185.928615,13963
186.94992,14038
187.977146,14129
189.005285,14189
190.014179,14263
191.018054,14339
192.036656,14422
193.039695,14473
194.059723,14551
195.08562,14622
196.105441,14694
197.136396,14777
198.180072,14862
199.203812,14934
200.226967,15004
201.221156,15085
202.226971,15168
203.27691,15252
204.289998,15340
205.313056,15424
206.34791,15504
207.39393,15573
208.423719,15659
209.41893,15750
210.411221,15831
211.412051,15918
212.451323,16019
213.471633,16114
214.481458,16199
215.51856,16293
216.524732,16369
217.568464,16447
218.614698,16539
219.629009,16631
220.64217,16730
221.650348,16810
222.660691,16911
223.678758,16988
224.738327,17084
225.790017,17179
226.836388,17259
227.837683,17367
228.863315,17471
229.912213,17559
230.918592,17634
231.959856,17704
233.000474,17792
234.011504,17878
235.040014,17957
236.078256,18046
237.07811,18130
238.124366,18213
239.173146,18296
240.219559,18382
241.23638,18457
242.260924,18538
243.311577,18628
244.316388,18728
245.347733,18814
246.394591,18902
247.450715,19006
248.471335,19088
249.529674,19169
250.531882,19255
251.559826,19333
252.575506,19411
253.59037,19498
254.597464,19571
255.636786,19642
256.629769,19719
257.633375,19788
258.640009,19869
259.674867,19947
260.67477,20043
261.68398,20129
262.710942,20207
263.737418,20281
264.786196,20372
265.807205,20456
266.823142,20532
267.828937,20599
268.869843,20675
269.861761,20755
270.861795,20855
271.889132,20952
272.912136,21048
273.9126,21127
274.935555,21207
275.958091,21294
277.000974,21373
278.036388,21475
279.063701,21549
280.073154,21612
281.096629,21700
282.145839,21779
283.143802,21858
284.184923,21935
285.225858,22020
286.258345,22099
287.277057,22171
288.292535,22243
289.296481,22326
290.294741,22396
291.297306,22478
292.338049,22571
293.334802,22660
294.341758,22761
295.368901,22854
296.37529,22934
297.426355,23045
298.419438,23116
299.461137,23199
