time,secondary_infections
0.573059,15
1.458653,22
2.448581,31
3.441225,43
4.42373,52
5.429757,65
6.424164,80
7.42239,86
8.419751,102
9.407055,111
10.392864,129
11.391341,151
12.379711,181
13.387903,210
14.387979,236
15.385178,262
16.399027,292
17.385894,331
18.387432,363
19.348424,399
20.344513,430
21.331907,473
22.379502,540
23.42518,591
24.408483,635
25.394743,703
26.353659,768
27.332394,825
28.340843,890
29.361563,971
30.373762,1065
31.370792,1142
32.374704,1210
33.412264,1291
34.464595,1372
35.493988,1458
36.501233,1531
37.545868,1625
38.591118,1718
39.589814,1768
40.585658,1838
41.630337,1919
42.629666,2006
43.615166,2077
44.658855,2160
45.660098,2237
46.668397,2315
47.659479,2387
48.655803,2465
49.678152,2548
50.697416,2621
51.749569,2710
52.776722,2798
53.770833,2858
54.817574,2953
55.832152,3053
56.86061,3148
57.86368,3236
58.909782,3322
59.983408,3417
61.032736,3516
62.030959,3595
63.022915,3675
64.017814,3764
65.021645,3845
66.0466,3929
67.078612,4020
68.132699,4100
69.137046,4189
70.153243,4284
71.181708,4366
72.178424,4450
73.18047,4545
74.191973,4618
75.207552,4706
76.203299,4817
77.266032,4905
78.260358,4975
79.254875,5048
80.256057,5127
81.268745,5227
82.270915,5326
83.295655,5396
84.303818,5476
85.335305,5565
86.390779,5653
87.430656,5742
88.415423,5822
89.447482,5924
90.488208,6001
91.538359,6096
92.594748,6164
93.576027,6242
94.684744,6316
95.746403,6390
96.807423,6463
97.844718,6541
98.934549,6619
100.020152,6682
101.146965,6755
102.166026,6808
103.203558,6873
104.351011,6958
105.452115,7022
106.46934,7084
107.471248,7162
108.485205,7238
109.569671,7317
110.618023,7400
111.69092,7486
112.77163,7569
113.795857,7651
114.903711,7741
115.956454,7825
117.043452,7906
118.134841,7998
119.198786,8079
120.278856,8160
121.400885,8240
122.465063,8322
123.534994,8412
124.544695,8513
125.602973,8588
126.595436,8659
127.581684,8734
128.627274,8815
129.642,8900
130.689283,8987
131.714127,9077
132.767592,9151
133.824389,9251
134.857545,9314
135.884854,9389
136.891059,9458
137.946459,9536
138.997959,9613
140.00682,9716
141.049444,9804
142.046692,9890
143.045938,9978
144.054444,10048
145.050075,10127
146.077923,10231
147.141423,10308
148.158288,10405
149.207252,10488
150.205794,10582
151.244486,10681
152.270648,10763
153.295315,10852
154.347476,10927
155.347458,11025
156.346079,11125
157.35675,11191
158.387331,11249
159.378887,11308
160.42346,11378
161.438398,11443
162.514455,11511
163.556626,11583
164.558468,11662
165.626576,11727
166.698158,11803
167.693446,11874
168.70769,11947
169.746004,12007
170.753485,12070
171.746564,12153
172.77381,12236
173.76654,12324
174.796442,12415
175.83079,12493
176.838892,12557
177.885317,12632
178.882865,12708
179.893737,12803
180.892889,12877
181.909044,12944
182.95512,13026
183.979718,13105
184.978994,13186
186.013317,13269
187.120232,13356
188.166683,13437
189.155267,13520
190.137408,13595
191.115106,13668
192.188163,13727
193.296267,13807
194.348273,13903
195.357964,13984
196.369539,14069
197.384333,14136
198.409285,14214
199.455087,14292
200.453809,14372
201.506342,14462
202.5482,14557
203.549979,14637
204.58512,14740
205.624577,14821
206.616166,14912
207.636619,14982
208.688531,15063
209.733363,15150
210.782804,15238
211.794223,15330
212.962002,15414
214.066599,15510
215.069439,15593
216.181658,15658
217.236774,15741
218.294565,15807
219.335881,15883
220.366798,15963
221.368855,16035
222.394133,16091
223.470289,16174
224.501947,16249
225.589332,16329
226.630373,16409
227.641476,16484
228.695764,16567
229.771753,16648
230.795787,16742
231.804884,16819
232.898637,16898
233.894165,16979
234.910946,17074
235.972031,17159
236.984833,17235
238.000275,17319
239.052691,17412
240.062213,17505
241.072826,17563
242.114931,17640
243.121508,17709
244.117768,17765
245.166198,17822
246.168851,17891
247.166484,17947
248.197626,18011
249.194046,18082
250.227028,18160
251.282587,18238
252.286179,18305
253.296481,18371
254.296094,18436
255.329061,18505
256.382672,18590
257.415899,18657
258.401354,18726
259.407837,18809
260.517266,18887
261.513695,18974
262.509447,19044
263.550547,19108
264.58304,19187
265.638266,19273
266.67814,19352
267.718942,19452
268.77298,19536
269.805674,19626
270.812247,19703
271.87604,19778
272.911162,19856
273.952734,19945
274.997298,20028
276.043717,20134
277.117407,20201
278.145921,20280
279.177716,20361
280.203992,20451
281.279534,20535
282.306022,20627
283.339005,20697
284.408405,20784
285.428672,20878
286.508792,20960
287.56324,21060
288.619427,21149
289.602525,21214
290.644815,21287
291.764254,21344
292.812958,21416
293.807973,21492
294.8635,21562
295.886729,21635
296.919911,21712
297.949955,21798
