time,secondary_infections
0.552858,16
1.457491,30
2.453566,41
3.46124,49
4.455032,63
5.460219,78
6.46617,91
7.46598,101
8.481385,115
9.494957,132
10.500674,159
11.500169,187
12.492148,225
13.513765,272
14.511731,307
15.525697,357
16.523585,415
17.518044,449
18.519461,481
19.533695,530
20.556857,581
21.55229,626
22.574662,685
23.639697,746
24.623686,826
25.66881,893
26.686876,972
27.710576,1072
28.79962,1165
29.794124,1236
30.80105,1317
31.84635,1400
32.842846,1475
33.8276,1557
34.833793,1627
35.838463,1711
36.856828,1776
37.881014,1848
38.921938,1915
39.926807,2005
41.021467,2081
41.993503,2162
43.007661,2265
44.04588,2358
45.075513,2444
46.164011,2540
47.122718,2643
48.171246,2733
49.170384,2808
50.184767,2885
51.210259,2974
52.290431,3066
53.256567,3161
54.288324,3250
55.330102,3334
56.36246,3433
57.459311,3527
58.493701,3628
59.501609,3700
60.545827,3786
61.54721,3866
62.621999,3951
63.599158,4034
64.640382,4120
65.686269,4192
66.688462,4266
67.777699,4363
68.729559,4449
69.770937,4539
70.769328,4620
71.76527,4691
72.777597,4784
73.840676,4863
74.815644,4948
75.857328,5033
76.881651,5112
77.924231,5196
78.959987,5287
80.01295,5391
81.09386,5472
82.030085,5549
83.027108,5647
84.060562,5742
85.080533,5825
86.14402,5912
87.104251,5996
88.127384,6087
89.195828,6173
90.218301,6264
91.294416,6341
92.245799,6412
93.288994,6485
94.336089,6581
95.358623,6665
96.393216,6752
97.421315,6830
98.476673,6927
99.509177,7025
100.499763,7122
101.540581,7215
102.568576,7293
103.620315,7377
104.552181,7463
105.595281,7551
106.650544,7660
107.655415,7741
108.646504,7834
109.689342,7923
110.730519,8019
111.767831,8115
112.777733,8193
113.781424,8261
114.788607,8333
115.826231,8414
116.856187,8493
117.890844,8572
118.907622,8688
119.944631,8790
120.958068,8858
121.965696,8927
122.976466,9007
123.980425,9090
125.001028,9177
126.082787,9266
127.050053,9361
128.104673,9453
129.132526,9555
130.175816,9656
131.19744,9745
132.200784,9838
133.199886,9939
134.258151,10022
135.250084,10110
136.328252,10192
137.298225,10281
138.316954,10354
139.31314,10421
140.350918,10500
141.388539,10573
142.400392,10664
143.419789,10741
144.436333,10825
145.444125,10911
146.467018,10988
147.496193,11060
148.519622,11136
149.523775,11220
150.552306,11315
151.595225,11411
152.593456,11490
153.585128,11568
154.6345,11656
155.659131,11753
156.744975,11837
157.682721,11932
158.720447,12022
159.762286,12100
160.770935,12169
161.852021,12261
162.792298,12345
163.848135,12438
164.874343,12532
165.912316,12616
166.928787,12689
168.016454,12777
168.962385,12852
169.992576,12944
171.002821,13035
172.049677,13126
173.063804,13207
174.093986,13282
175.10219,13375
176.13796,13479
177.198943,13586
178.213194,13658
179.237634,13745
180.272399,13838
181.326525,13941
182.342535,14049
183.347363,14132
184.406923,14225
185.456026,14319
186.496403,14406
187.5341,14506
188.54302,14589
189.63407,14682
190.609,14778
191.60742,14855
192.64151,14930
193.670302,15017
194.708015,15109
195.74974,15220
196.763836,15305
197.753399,15393
198.760018,15493
199.767396,15598
200.793082,15690
201.814352,15767
202.84449,15851
203.851151,15925
204.872575,16013
206.000042,16131
206.919859,16225
207.968215,16314
208.974608,16391
209.997419,16479
210.998582,16572
212.110504,16655
213.040619,16750
214.042234,16834
215.043718,16917
216.063547,17012
217.101717,17104
218.12658,17193
219.130064,17277
220.160714,17365
221.159672,17443
222.189426,17555
223.241248,17643
224.229141,17723
225.231029,17814
226.252964,17895
227.277187,17987
228.332163,18099
229.411356,18193
230.385118,18294
231.416705,18385
232.417751,18464
233.466365,18557
234.504908,18639
235.499201,18734
236.503071,18817
237.512654,18909
238.548278,18989
239.551606,19071
240.566559,19151
241.584397,19253
242.642375,19343
243.676534,19426
244.691845,19505
245.741208,19597
246.798402,19674
247.825043,19749
248.841649,19828
249.860428,19895
250.875827,19983
251.900822,20071
252.8989,20159
253.903341,20237
254.935988,20332
255.952312,20418
256.992815,20511
258.008399,20583
259.022211,20670
260.031914,20758
261.063825,20854
262.084551,20930
263.10656,21011
264.14894,21093
265.19441,21183
266.248833,21257
267.250719,21344
268.260763,21425
269.279694,21506
270.276546,21596
271.322103,21688
272.370367,21776
273.402075,21851
274.432546,21943
275.433744,22015
276.481583,22098
277.532945,22197
278.521735,22268
279.526912,22338
280.532885,22410
281.664822,22500
282.595396,22583
283.63142,22662
284.631731,22736
285.623631,22816
286.653734,22911
287.700289,23002
288.687289,23082
289.699291,23160
290.73366,23249
291.750877,23350
292.756726,23422
293.790903,23496
294.905436,23581
295.853824,23659
296.870684,23741
297.868174,23822
298.895155,23898
