time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.557738,95,10,0.1715096831905617,0.24478500607995235,0.5599782048971312
1.455091,96,11,0.1632804972147834,0.22990550911006277,0.5516195077484304
2.453735,103,15,0.17075569289718884,0.2475923972433037,0.5091917247650026
3.443422,102,14,0.1611790557111805,0.24561551909687487,0.4769395380026487
4.427926,96,15,0.1661347053579033,0.2598920019831833,0.5076337407509263
5.42159,89,15,0.17032155845097227,0.2644011489857891,0.47703540512896364
6.424798,96,15,0.22342364916597746,0.3545984050655493,0.3951517576687421
7.440875,87,32,0.2551690752918874,0.41466842552011723,0.37142195288187735
8.408914,87,42,0.30057959051015526,0.496128254066078,0.3177360895490045
9.415224,75,49,0.32483314898390014,0.533470237257542,0.30132061698656815
10.416188,80,51,0.3343960996881219,0.542937167276495,0.2883962845555094
11.402284,64,69,0.34971763924734234,0.5639416386107882,0.2834537558249632
12.400619,60,73,0.34039123234114876,0.5450653658899767,0.2910444476295781
13.387313,55,78,0.36458518950135815,0.5892393510553433,0.2788014544907376
14.375393,47,79,0.37815429559907593,0.5941612413257277,0.2806504503119985
15.359436,45,76,0.3794054239340121,0.6020770250209463,0.2754271819883602
16.35007,45,69,0.42507773849263436,0.6710245816171672,0.26320006264738455
17.348163,39,69,0.4329414281977101,0.6761327450536817,0.26156360864701694
18.345559,40,71,0.4316957544844892,0.6788499558760964,0.262312484221549
19.338931,32,70,0.4155230977756631,0.6478280453708326,0.2737755962147157
20.321033,32,64,0.43473288333848026,0.6846718411194127,0.26223644382135425
21.287674,38,57,0.44283200039219583,0.6934293902629739,0.260735495076697
22.250059,37,54,0.440089532640832,0.683448623164003,0.2636249531044185
23.209363,32,55,0.4344642779961853,0.6593351039086615,0.2696846966939736
24.127654,33,51,0.4567968727479953,0.6784192307893797,0.2656407596721532
25.005361,41,44,0.4662185147059349,0.7035160431411408,0.2597391922805548
25.892398,36,48,0.49728784924517994,0.7369517771210988,0.25273967692647137
26.774754,36,42,0.4672029971505511,0.698244457091904,0.25775446077354164
27.613915,38,37,0.4980659336429836,0.7393023071796417,0.24991276212438315
28.425355,37,31,0.5249652153954488,0.7700791235005632,0.24532282149105197
29.181592,36,33,0.5013720282350701,0.7497890639494234,0.24844476002339536
29.92817,34,33,0.5334382666307054,0.7769243865408552,0.24333732433175964
30.66705,37,32,0.5679278608701956,0.804343702790926,0.23817619945933816
31.411643,43,23,0.5560026908466541,0.7842132113892011,0.24093177466659377
32.131883,37,23,0.5172050611957885,0.7350509707677712,0.247747196423091
32.817801,31,22,0.5527735535327346,0.7705921469387249,0.24254334254911336
33.438126,31,21,0.6026551916472513,0.8156739849303437,0.23562982696173956
34.056334,33,17,0.6100193980143936,0.8219081682858435,0.23468782976510597
34.66683,36,18,0.5908821504075357,0.8002741166212917,0.23801509367893794
35.2982,28,20,0.5889131943136577,0.7877179786400829,0.23959425810451324
35.907045,37,16,0.5351023068828529,0.7484675351457437,0.24669050586732189
36.3533,38,13,0.5166952581332228,0.7564139320184465,0.24593051205344107
36.785219,37,17,0.5124799955625634,0.732973575494743,0.25449142438454103
37.237718,37,21,0.5084303275554815,0.739366368048091,0.2483765967108396
37.687406,34,21,0.495697905859139,0.7279939312922559,0.250391103065462
38.132301,34,18,0.4994427681127713,0.7328341244593461,0.24959796669593196
38.64374,34,15,0.5143229362121315,0.7542461462982437,0.24661780979326237
39.057983,33,19,0.5891475981085319,0.8110428525344745,0.2372018067814825
39.509797,27,19,0.6202985401063841,0.7918316707623315,0.2381908022241673
39.942125,27,20,0.5654203714379433,0.7457115592457204,0.24588470137915616
40.556412,28,14,0.6156968235175483,0.7864331248140267,0.23897037058259377
41.138318,28,10,0.6454693619171852,0.8077775500227533,0.23536285195040857
41.684044,21,10,0.6698273890530843,0.8232342597314307,0.23267482298117442
42.182159,19,7,0.7488844971701462,0.9262539087745285,0.2175910725433249
42.616496,18,6,0.7533468648185302,0.9242134442007665,0.2175764512266659
43.043332,20,6,0.7201872137750409,0.9009063857570666,0.22143471511080023
43.492148,21,6,0.7598223869158057,0.9078724133748451,0.218832624162504
43.943785,24,4,0.7801207428623882,0.920753004798743,0.21659260002147557
44.411267,28,5,0.7358416985206893,0.9081167831462817,0.22003066861050513
44.906649,31,4,0.7801207428623882,0.920753004798743,0.21659260002147557
45.418917,33,4,0.7801207428623882,0.920753004798743,0.21659260002147557
45.948889,30,4,0.8395735025735355,0.9312020462254111,0.21268946359903126
46.450511,34,3,0.7994575600565704,0.9148384409926239,0.21623053321420782
46.984203,31,2,0.7192256750226405,0.8821112305270495,0.22331267244456096
47.496262,32,1,0.9599213301244305,0.9802928619237727,0.2020662547535016
48.018777,33,1,0.9599213301244305,0.9802928619237727,0.2020662547535016
48.532337,35,0,0,0,0
