time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.534786,95,10,0.17046070748640121,0.24846348082828565,0.5596872280834106
1.439558,98,10,0.21544615835784642,0.32019267344344027,0.4398850688374062
2.428679,94,13,0.27902442063067967,0.41741297278653805,0.34990194597224156
3.428048,104,15,0.3384874465102351,0.5149670280457975,0.3169113332861841
4.430389,100,17,0.30406295647456977,0.4592635669628302,0.3378036864235568
5.422553,91,19,0.2831181965953304,0.4214779668934199,0.33998496479042833
6.379458,84,21,0.45755173884022665,0.59917074496565,0.297619257569317
7.374447,80,34,0.49977215386125523,0.669717997881135,0.26525708081882415
8.363416,76,42,0.5302432602637313,0.7103886449986436,0.2538354201092815
9.36062,68,57,0.5562207538492376,0.7366230957105212,0.24710111304358562
10.347133,59,55,0.5253370884255627,0.7038785620132826,0.25200510830175266
11.333333,59,54,0.5128127671638952,0.7181260660654192,0.25114628197546424
12.316888,60,48,0.48466315293657275,0.7075648298662583,0.25357803507169924
13.300564,49,58,0.4624336153829336,0.6854756368825495,0.2566644616699808
14.292972,46,64,0.5008105610159471,0.7249033055152786,0.25055240854253263
15.28127,44,71,0.5216672534204483,0.7405247216993065,0.2476371664857447
16.279165,46,73,0.5647876610684734,0.7704295844647069,0.24341851047329685
17.276385,48,62,0.5670704331719982,0.7940265150025145,0.2398230486751133
18.269046,45,68,0.6358523015588309,0.8507596929478118,0.23070333846643618
19.266685,37,66,0.6484842576564458,0.8672934696022944,0.2283370180868488
20.246187,35,63,0.6587595083985996,0.8786926308602453,0.22670540512077586
21.219765,39,60,0.6449186074862304,0.8726552402518467,0.22798461957841346
22.201209,40,61,0.6576125328850432,0.882094775106287,0.22639204411814703
23.084035,37,51,0.6480218249428763,0.8755138342965788,0.22753918216733768
23.937352,34,52,0.6728627722187771,0.8976094367249285,0.22413462742104048
24.731852,35,41,0.6398871548197493,0.869289011141199,0.22857376961897163
25.484693,31,42,0.6643764203071546,0.8856428579828686,0.22578607295036232
26.192402,28,40,0.6501305081527355,0.8581919861058143,0.22927320815312555
26.856922,26,36,0.6624932665138503,0.8589950040349513,0.22862526642290615
27.517376,26,35,0.649991266062112,0.8426916013474673,0.23079381969936322
28.184248,30,31,0.6494365087320462,0.8528445027870702,0.22980141609342705
28.868856,29,35,0.6542665972577785,0.8571465793098184,0.22896727974354952
29.54332,24,39,0.6940702244041164,0.895084215257738,0.22316409224387465
30.205624,26,33,0.652991926164248,0.8781580020375063,0.22686979215825204
30.873731,29,32,0.6499566620465382,0.8743757775781721,0.22735857444084367
31.353698,30,34,0.7132115102108755,0.9052635753059219,0.22127272299577141
31.832196,31,35,0.7105741189006458,0.9058491803684776,0.22135900941626754
32.6044,39,33,0.7163898576052516,0.9042132700896248,0.22127191017227707
33.413159,36,41,0.6985374721820303,0.8956601055273247,0.22303828557411437
34.18936,40,34,0.7073654777207535,0.897953613053492,0.22239081301893643
34.975645,37,38,0.6873966994824834,0.8906655301712861,0.22410272141735968
35.727655,37,35,0.738479562991362,0.9105401919715254,0.2196640615211028
36.483549,39,33,0.7366783178820144,0.9113793457317348,0.2196412975137642
36.995405,38,31,0.6983550497136842,0.8929945055001077,0.22334385253781175
37.765555,43,31,0.6872148227156257,0.898937751605817,0.22330812960614738
38.506677,43,30,0.7221746377425983,0.9211362542841518,0.21947112049452364
39.264623,36,37,0.7580156764290975,0.9328663242506258,0.2165715287658668
40.027247,33,39,0.7757072305003992,0.9400284063881296,0.21499740881967336
40.811527,35,40,0.8123238323865248,0.9469039434128877,0.21254512682689528
41.56156,34,37,0.8446043724966543,0.9550538236815893,0.2101776935872599
42.275063,27,38,0.8535700938213191,0.956114532760896,0.20964796035037925
42.938693,27,32,0.8604335052923004,0.9579529929564446,0.2091356269265084
43.602802,28,31,0.8458015639974675,0.9551625799744582,0.21011556065910728
44.280458,27,34,0.8660759264180957,0.9580894330576458,0.2088597762552889
