time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.57092,95,10,0.1749031775242963,0.2503087339812825,0.559279764658887
1.467869,104,6,0.13793881251375653,0.1960290453883329,0.4932717329097082
2.46559,106,6,0.07136850836326812,0.08353574958985109,0.6171345608848029
3.45562,99,9,0.09325146147747201,0.10754181633227132,0.48917491990836875
4.457018,101,11,0.09619198541734826,0.11257899337741485,0.49334902241259565
5.450599,107,8,0.09178504838463976,0.10706276014303925,0.5190657204050387
6.438579,108,9,0.08852518234386568,0.10455293181816883,0.5387873094043898
7.449429,113,11,0.13082523364325377,0.17206721280545392,0.43890875958667946
8.41942,113,8,0.1449395526268872,0.1948765115695823,0.40108392084495303
9.417007,118,8,0.19230706550277482,0.28934199977035135,0.37469980831372274
10.397861,120,12,0.24264012320292358,0.3859918541110153,0.3401274381595562
11.395335,115,13,0.2668578097548461,0.4315996168980677,0.3159910973645132
12.383566,117,16,0.27280168995383375,0.4441620310672297,0.3108366767548219
13.385598,119,18,0.26619681505854376,0.4277485528655269,0.3088265029625829
14.38727,116,24,0.2689047160524087,0.4330499536244086,0.30727600814519956
15.387424,121,23,0.25440951783494287,0.3998152633227282,0.31648634232160266
16.394744,125,31,0.2860246951542706,0.4535801368248383,0.3029163302086996
17.404275,121,43,0.32276082250565535,0.5136512235355641,0.2895047205922745
18.414841,117,47,0.34788089038511333,0.554746854575433,0.2836386278837437
19.410859,102,59,0.3973560949612102,0.6184257824984006,0.2713046515134359
20.401292,100,67,0.4023210273798963,0.632909935941209,0.2687446684804841
21.405446,89,78,0.4604770888171594,0.7004962782171053,0.2569757005654118
22.40352,84,81,0.48257165763960425,0.7278904089824247,0.25198882540311257
23.406178,65,94,0.5108503154322844,0.75038839028547,0.24867397276344697
24.394431,52,97,0.536339106861205,0.7691833689214255,0.24533308131726914
25.389354,42,92,0.5501099273341776,0.7812408385201017,0.24280443501668914
26.39394,34,94,0.5645218214087778,0.8012004942080905,0.2393267546821294
27.395986,28,107,0.5883272555163983,0.8132353107327691,0.23752869459950351
28.379128,30,87,0.5902469909464407,0.8167613805670484,0.23667277720088675
29.364053,34,81,0.5818670907131259,0.8089317982826548,0.2379193046738675
30.352455,25,78,0.6352585215092089,0.8557328225985384,0.22998537519609763
31.329892,26,79,0.65638999186636,0.8564047700532369,0.22900371537779982
32.380158,33,64,0.681415171348941,0.8644029745087728,0.22801232715549505
33.298124,30,57,0.6698373718481134,0.8630334589009219,0.22786948991439848
34.206803,39,53,0.7004580907160873,0.8850925385865146,0.22406007082061727
35.18928,31,47,0.718697324896139,0.8915291215696696,0.22251859249397038
36.023992,28,47,0.7221986243585932,0.9001183687178732,0.22142241887171876
