time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.539998,95,10,0.1749031775242963,0.2503087339812825,0.559279764658887
1.454595,102,7,0.14925800906489134,0.22096567309211626,0.48177118319128587
2.453848,105,14,0.16624187987474073,0.24755314552268007,0.4273558876929677
3.45304,100,15,0.18226656174652014,0.2770039834902676,0.415987030656732
4.444462,94,15,0.20090871570091273,0.3133059511314761,0.4039677336182388
5.435594,89,13,0.16011670623403462,0.23675030585724227,0.431656055983179
6.435652,90,22,0.22547871298683464,0.34276838825410794,0.3819260590444188
7.455619,93,31,0.2729256029663294,0.40838188288972527,0.358525227513953
8.43479,90,40,0.28544297299604793,0.43361791059433885,0.36112310612818077
9.44325,77,49,0.32325269257994615,0.48221969653917945,0.3407412518284898
10.430611,74,59,0.3805968935680548,0.5489630463497686,0.3204147761029385
11.417428,76,64,0.3664435419646777,0.5321088585079621,0.3149385786233674
12.419465,70,69,0.3510530827545746,0.5142045008897104,0.3178075022462238
13.422861,56,77,0.38692844590421127,0.5359134074627621,0.322721485308434
14.421178,50,77,0.41977857624564063,0.5753568415347714,0.30903223309218913
15.403582,47,74,0.4744902740148487,0.6374961841822917,0.285542020372935
16.403473,46,71,0.49889415593853237,0.6584384480969458,0.28143772545754814
17.401324,42,73,0.5369785399272191,0.7002678258998541,0.2741991611139866
18.403708,47,75,0.6171535905121466,0.7824131692183349,0.2574047430398059
19.399989,48,75,0.6462210595019615,0.8158165805690175,0.2541802530260163
20.390686,45,75,0.6830589914149444,0.8492508121639992,0.2427644282694592
21.375075,40,70,0.7310290135199794,0.8885531286277231,0.2323397011461682
22.363046,45,58,0.6944051025323631,0.8679693993512052,0.23829548901848396
23.361199,35,60,0.7175048711057276,0.8870929839458331,0.23486290000327453
24.299644,29,59,0.7555426193150504,0.9263312224090611,0.21716680454893134
25.166556,31,59,0.7762798035728804,0.935743588917501,0.21524369976695443
26.016567,31,41,0.7871987751394937,0.9326443085111649,0.2149512845824862
26.744457,32,31,0.7856359773594855,0.9336241538709118,0.21493720071185307
27.422576,29,37,0.7370113194188793,0.8970969129018616,0.2214598073280327
28.104028,24,36,0.7402752320450905,0.9089257107391935,0.22019748989130805
28.750839,26,35,0.7714550335320193,0.9313990523882832,0.21587397689979024
29.406978,34,25,0.7709610533301315,0.9335317221918004,0.21571246431794674
30.062346,36,22,0.7829382712916737,0.938825515502156,0.21459484771624415
30.518042,31,23,0.7450710857185434,0.9214329990283545,0.21813753963284938
30.966386,35,21,0.7285040134784571,0.9230130091518425,0.21888338075344826
31.428141,27,23,0.7242035168100768,0.9218541436352795,0.21923038699020045
31.869683,32,17,0.743098531096817,0.9233158561607858,0.21813388938136632
32.316335,23,20,0.7435757140251478,0.9266767771895351,0.21776603148897875
32.907948,34,16,0.6968111128363715,0.9062163694306294,0.22206130899853874
33.520434,33,18,0.7222052090482297,0.9260342903007501,0.2189480864213484
34.132181,34,15,0.7579722327229564,0.9380883146489835,0.2159459899595128
34.734148,31,16,0.7760473787358235,0.9429240017880347,0.21455950918403657
35.307458,29,17,0.8020535078048623,0.9527305897103375,0.2122767799403411
35.953716,29,18,0.8163297788405598,0.9577468321768797,0.21111239735580722
36.375945,23,24,0.8023620077148689,0.9493648028101275,0.21267946138606317
36.822632,21,23,0.8219362868783995,0.9566824951030629,0.2109666398202595
37.255192,23,16,0.8197950118371985,0.954126511516504,0.21136576807233676
37.697299,20,17,0.7938682424693876,0.9415168277193747,0.21382094540672444
38.245168,19,17,0.8010688993548768,0.9430852898811564,0.21331060346587677
38.771531,23,15,0.8299359868660624,0.9488785542395223,0.2113442580447054
39.325678,24,14,0.8431202006164252,0.9507383349235513,0.2105127195672783
39.883527,21,11,0.8393808935555871,0.945991053053858,0.21118829664724836
40.401029,19,9,0.8387670210116862,0.9416402564395843,0.21167248862566954
40.891257,21,7,0.80320490132049,0.9305125090979877,0.21446732204095237
41.378212,20,8,0.8896493989530002,0.9680243823973734,0.20666468974475857
41.865457,21,7,0.8791372502418754,0.9662296695776879,0.20734670661226984
42.337571,24,5,0.8447438709342177,0.9604206894236216,0.2095689492943678
42.82649,30,4,0.8805737033057959,0.9675907699434426,0.20711082956931015
43.346197,32,4,0.8805737033057959,0.9675907699434426,0.20711082956931015
43.883396,33,2,0.8453847691629283,0.9599607231537897,0.20961801318129844
44.400418,35,2,0.8453847691629283,0.9599607231537897,0.20961801318129844
44.942526,33,2,0.8453847691629283,0.9599607231537897,0.20961801318129844
45.465984,33,1,0.72376258123469,0.9390045785170447,0.2175443982207267
45.985097,35,0,0,0,0
